email_id,subject,body,sender_email,timestamp,priority
E001,Feature Request: Dark Mode,"Hi there! I've been using your app for months and really love it. However, I'd like to request a dark mode feature. I often use the app late at night and the bright interface strains my eyes. Many other apps have this feature and it would really improve my user experience. Is this something you're considering for future updates? Thanks!",user1@example.com,2025-07-16 08:51:21,High
E002,Data Loss Problem,"I'm experiencing a serious issue with data loss in your application. Yesterday I spent 3 hours working on a project, saved it multiple times, but when I opened the app this morning, all my work was gone. This has happened twice now in the past week. I really need this data recovered if possible, and want to ensure this doesn't happen again. Please help urgently.",user2@example.com,2025-06-24 17:51:21,Low
E003,Feature Request: Dark Mode,"Hello, I wanted to suggest adding a dark mode option to your app. As someone who works long hours on the computer, having a dark theme would be much easier on my eyes, especially during evening work sessions. I notice most modern apps offer this feature now. Would love to see this implemented! Keep up the great work otherwise.",user3@example.com,2025-06-14 22:51:21,Medium
E004,Login Issue,"I'm unable to log into my account since this morning. I've tried resetting my password twice but I'm not receiving the reset emails. I've checked my spam folder and tried different browsers. My email is correct and I've been using this account for over a year without issues. This is blocking me from accessing important work documents. Please assist ASAP.",user4@example.com,2025-07-18 10:51:21,High
E005,App Crash Report,"The app keeps crashing on my iPhone 14 Pro running iOS 17.5. It happens specifically when I try to export files - the app freezes for about 10 seconds then crashes completely. I've tried restarting my phone and reinstalling the app but the problem persists. This is making the app unusable for me. Error code that appears briefly: ERR_EXPORT_FAIL_001",user5@example.com,2025-07-14 22:51:21,High
E006,Data Loss Problem,"Hi, I'm having trouble with data synchronization. My work from yesterday isn't showing up on my laptop even though I saved everything on my phone. The sync function seems to be working (no error messages) but the data isn't actually transferring between devices. I need this fixed as I have a presentation tomorrow. Can you help troubleshoot this sync issue?",user6@example.com,2025-06-27 01:51:21,Medium
E007,Feature Request: Dark Mode,"Would it be possible to add a dark mode theme? I use your app frequently during late hours and the current bright interface is quite harsh on the eyes. A toggle between light and dark modes would be fantastic. This would also help save battery life on mobile devices. Thanks for considering this feature request!",user7@example.com,2025-07-04 14:51:21,Medium
E008,Suggestion for Improvement,"I love using your app but have a suggestion that could improve user experience. The search function could be more intuitive - maybe add filters by date, type, or tags? Also, keyboard shortcuts for common actions would speed up workflow significantly. Just some ideas from a daily user. Overall, great product!",user8@example.com,2025-07-11 03:51:21,Medium
E009,Login Issue,"Hi, I'm locked out of my account. When I try to log in, it says 'invalid credentials' but I'm 100% sure my password is correct. I use a password manager so there's no typing error. This started happening after the recent app update. Could there be a bug with the authentication system? Need access urgently for work.",user9@example.com,2025-06-18 13:51:21,Low
E010,Data Loss Problem,"URGENT: I've lost a critical project file that I was working on for the past month. The file was definitely saved (I always save frequently) but now it's completely gone from my project list. This represents weeks of work and I have a client deadline tomorrow. Is there any way to recover this data from backups? File name was 'Johnson_Marketing_Campaign_v12'.",user10@example.com,2025-06-28 13:51:21,High
E011,App Crash Report,"Experiencing frequent crashes on Android (Samsung Galaxy S23). The app crashes randomly during normal use - no specific action triggers it. Sometimes it crashes 3-4 times per hour which makes it very frustrating to use. I've cleared cache, updated to latest version, but problem continues. Device has plenty of storage and RAM available.",user11@example.com,2025-07-05 09:52:28,Medium
E012,Feature Request: Dark Mode,"Hi team, could you please consider implementing a dark mode? Many users would appreciate this feature, especially those of us who work in low-light environments or have visual sensitivities. It's become pretty standard in modern apps. Even a simple toggle in settings would be perfect. Thanks for all your hard work on this app!",user12@example.com,2025-06-26 05:52:28,Low
E013,Data Loss Problem,"I'm missing several files that were definitely in my account last week. They seem to have disappeared after the recent system maintenance. These files contain important client information that I cannot recreate. Can you please check if there were any issues during the maintenance that might have affected user data? Account ID: ACC_789321",user13@example.com,2025-06-30 02:52:28,Medium
E014,Feature Request: Dark Mode,"As a night-shift worker, I would greatly benefit from a dark mode option in your app. The current bright white background is very harsh when working in dim lighting conditions. This feature would make the app much more comfortable to use during my work hours. Hope you can add this in a future update!",user14@example.com,2025-06-16 08:52:28,Medium
E015,Suggestion for Improvement,"I have some ideas that might enhance the user experience: 1) Add bulk actions for managing multiple items at once, 2) Implement drag-and-drop functionality for organizing content, 3) Add a recent activity log so users can see what they worked on recently. These features would really streamline my workflow. Keep up the excellent work!",user15@example.com,2025-07-14 03:52:28,Medium
E016,Suggestion for Improvement,"The notification system could use some improvements. Currently, I get too many notifications for minor things, but I'd like more detailed notifications for important events. Could you add notification preferences where users can customize what types of alerts they receive? Also, email digest options would be helpful for less urgent updates.",user16@example.com,2025-07-08 05:52:28,Medium
E017,Suggestion for Improvement,"Love the app overall! One feature that would be amazing is offline mode support. Sometimes I work in areas with poor internet connection and would love to continue working offline with sync happening automatically when connection is restored. This would make the app much more versatile for mobile workers like myself.",user17@example.com,2025-07-19 04:52:28,Low
E018,Data Loss Problem,"Hi, I'm experiencing intermittent data loss where my recent changes aren't being saved properly. I'll make edits, see the 'saved' confirmation, but when I return later, some changes are missing. This is very concerning as I can't trust that my work is being preserved. Using Chrome browser on Windows 11. Please investigate.",user18@example.com,2025-06-22 06:52:28,Medium
E019,App Crash Report,"The app consistently crashes when I try to upload files larger than 50MB. Smaller files upload fine, but anything over that threshold causes an immediate crash. I need to upload high-resolution images for my work, so this is a significant limitation. Error message appears briefly: 'Memory allocation failed'. Running on MacBook Pro M2.",user19@example.com,2025-06-11 15:52:28,Medium
E020,Data Loss Problem,"Some of my shared folders have lost their content. The folders are still there but they're empty. This happened to 3 different folders over the past week. Other team members also can't see the content that was previously there. We have important project files that seem to have vanished. Please help recover this data urgently.",user20@example.com,2025-06-21 21:52:28,Medium
E021,Suggestion for Improvement,"The mobile app could benefit from better tablet optimization. On my iPad, the interface feels cramped and doesn't take advantage of the larger screen space. Landscape mode support would also be great. For power users on tablets, this would significantly improve productivity. Thanks for considering these improvements!",user21@example.com,2025-07-14 23:52:28,Low
E022,Feature Request: Dark Mode,"Hi! I'm writing to request a dark mode feature. I use your app extensively during evening hours and the bright interface causes eye strain. A dark theme would be much more comfortable and would also help extend battery life on mobile devices. This seems to be a highly requested feature based on community forums. Please prioritize this!",user22@example.com,2025-07-11 05:52:28,Medium
E023,Data Loss Problem,"I'm having a data integrity issue where my database entries are getting corrupted. Some fields are showing garbled text or null values where there should be proper data. This started happening after importing a large CSV file yesterday. The original data is fine, but something in your system is corrupting it. Need this fixed ASAP.",user23@example.com,2025-07-11 18:52:28,Low
E024,Login Issue,"Two-factor authentication isn't working for my account. I enter the correct code from my authenticator app, but it keeps saying 'invalid code'. I've tried syncing my phone's time, generating new codes, but nothing works. This started happening after I changed my phone yesterday. Can you disable 2FA temporarily so I can access my account?",user24@example.com,2025-07-10 07:52:28,Medium
E025,Suggestion for Improvement,"I'd love to see better integration with third-party tools like Slack, Trello, and Google Workspace. Currently, I have to manually copy information between platforms. Direct integrations or at least better export/import options would save significant time. Also, API access for custom integrations would be fantastic for enterprise users.",user25@example.com,2025-06-26 12:52:28,High
E026,Login Issue,"Account seems to be temporarily suspended but I haven't received any notification about why. When I try to log in, it says 'Account access restricted - contact support'. I haven't violated any terms of service that I'm aware of. My subscription is current and payment is up to date. Can you please clarify what's happening with my account?",user26@example.com,2025-07-17 22:52:28,Medium
E027,Feature Request: Dark Mode,"Please add dark mode! As a developer who stares at screens all day, the bright white interface is really tough on my eyes, especially when switching between your app and my dark-themed code editor. A dark theme would make transitions much smoother and reduce eye fatigue. This is a standard feature in most professional tools now.",user27@example.com,2025-06-11 12:52:28,Low
E028,Suggestion for Improvement,"The search functionality needs improvement. Results aren't very relevant and there's no way to sort or filter them effectively. Also, search doesn't seem to look inside document content, only titles. For users with large amounts of data, better search is crucial for productivity. Consider implementing full-text search with advanced filters.",user28@example.com,2025-06-19 11:52:28,Medium
E029,Suggestion for Improvement,"Would love to see version history for documents, similar to Google Docs. Sometimes I need to revert changes or see what was modified and when. Currently, there's no way to track document evolution or collaborate effectively with change tracking. This feature would make the app much more suitable for team collaboration.",user29@example.com,2025-07-05 18:52:28,Low
E030,App Crash Report,"Consistent crashes when using the app on my older Android device (Android 10). The app loads fine initially but crashes within 5-10 minutes of use. I understand older devices may have limitations, but the app worked fine until the recent update. Could you either fix compatibility or provide a legacy version for older Android systems?",user30@example.com,2025-06-18 17:52:28,Medium
E031,Data Loss Problem,"My account seems to have been reset to an earlier state. Projects I completed last week are showing as incomplete, and recent files are missing. It's like my account was restored from an old backup. This is very concerning as I've lost significant work progress. Please check what happened and help restore my current data state.",user31@example.com,2025-06-14 20:52:28,Low
E032,Suggestion for Improvement,"The user interface could be more intuitive for new users. I've had several colleagues try the app but they found it confusing initially. Maybe add a guided tour or interactive tutorial for first-time users? Also, tooltips on advanced features would help. The functionality is great once you learn it, but the learning curve is steep.",user32@example.com,2025-06-22 02:52:28,Medium
E033,Data Loss Problem,"Experiencing data sync conflicts between my devices. When I work on the same project from different devices, changes sometimes overwrite each other instead of merging properly. Lost several hours of work this way. Need better conflict resolution or at least warnings when there are sync conflicts. Using Windows desktop and Android mobile.",user33@example.com,2025-07-11 13:52:28,Medium
E034,Suggestion for Improvement,"Performance has been sluggish lately, especially with larger projects. Loading times have increased significantly and the app sometimes becomes unresponsive for 10-15 seconds. This wasn't an issue before the recent updates. Please optimize performance for users with substantial amounts of data. Otherwise, love the new features you've been adding!",user34@example.com,2025-06-26 21:52:28,High
E035,Suggestion for Improvement,"Collaboration features need enhancement. Currently, there's no real-time editing or proper commenting system. For team projects, we need to see who's working on what and communicate directly within the app. Think Google Docs-style collaboration but for your platform. This would make the app much more valuable for business teams.",user35@example.com,2025-06-21 17:52:28,Medium
E036,Login Issue,"Social login (Google OAuth) stopped working. When I click 'Sign in with Google', it redirects but then returns an error saying 'OAuth authentication failed'. Regular email/password login works fine, but I prefer using Google sign-in for security. This issue started yesterday and affects both web and mobile app.",user36@example.com,2025-07-17 08:52:28,Low
E037,Login Issue,"Password reset emails are not being delivered. I've tried multiple times over the past 2 days, checked spam folders, and even tried from different email addresses. The system says 'reset email sent' but nothing arrives. I'm locked out of my account and need access urgently for a client presentation. Can you manually reset my password?",user37@example.com,2025-06-27 15:52:28,Medium
